Agency Name,Cost Pool,Fiscal Month,Cost,Fiscal Month (date),Fiscal & Calendar Month,Fiscal Year
Dept of Social and Health Services,Telecom,Aug-2024,770378,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Washington State Patrol,Outside Services,Mar-2025,767882,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
State Parks and Recreation Comm,Internal Services,Aug-2024,766654,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Corrections,Software,Aug-2024,762274,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Licensing,Internal Services,Sep-2024,760364,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Licensing,Internal Services,Jul-2024,750938,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Department of Enterprise Services,Hardware,Sep-2024,750459,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Labor and Industries,Outside Services,Dec-2024,747463,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Fish and Wildlife,Outside Services,Jul-2024,747264,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Department of Natural Resources,Hardware,Mar-2025,744930,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Employment Security Department,Software,Dec-2024,743018,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Office of Financial Management,Telecom,Mar-2025,742874,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Supt of Public Instruction,External Labor,Aug-2024,740116,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Retirement Systems,Outside Services,Jul-2024,738032,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Department of Retirement Systems,Outside Services,Dec-2024,737004,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Office of Financial Management,Internal Services,Jan-2025,735469,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Washington State Patrol,Hardware,Nov-2024,731387,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Military Department,Hardware,Sep-2024,728138,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Office of Financial Management,Internal Services,Oct-2024,725252,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Washington State Patrol,External Labor,Sep-2024,724850,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
"Department of Children, Youth, and Famil",Software,Mar-2025,722858,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Office of State Auditor,Internal Labor,Jan-2025,721958,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Office of Financial Management,Internal Services,Jul-2024,718597,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Department of Agriculture,Internal Services,Sep-2024,714164,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Natural Resources,Internal Labor,Dec-2024,713724,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Dept of Social and Health Services,Software,Aug-2024,709107,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Office of Financial Management,External Labor,Dec-2024,708409,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
"Department of Children, Youth, and Famil",External Labor,Aug-2024,705067,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Administrative Office of the Courts,Outside Services,Jan-2025,700482,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Licensing,Internal Services,Aug-2024,699284,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Fish and Wildlife,Outside Services,Mar-2025,693580,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Administrative Office of the Courts,Outside Services,Mar-2025,692372,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Licensing,Outside Services,Jul-2024,690303,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Office of Financial Management,Internal Services,Mar-2025,685606,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Transportation,External Labor,Aug-2024,685556,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Transportation,External Labor,Nov-2024,683658,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Employment Security Department,Hardware,Mar-2025,680806,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Office of Attorney General,Software,Aug-2024,678571,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Labor and Industries,Telecom,Jan-2025,672920,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Corrections,Software,Mar-2025,672431,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Transportation,Hardware,Nov-2024,670152,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Office of the Secretary of State,Software,Jul-2024,668985,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Office of Financial Management,Internal Services,Feb-2025,668551,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Washington State Patrol,Outside Services,Sep-2024,667181,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Office of Financial Management,Other,Oct-2024,666250,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Corrections,External Labor,Nov-2024,665560,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Office of Financial Management,Internal Services,Dec-2024,665507,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Western Washington University,Hardware,Aug-2024,662274,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Dept of Social and Health Services,Software,Mar-2025,662267,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Natural Resources,Hardware,Sep-2024,661719,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Office of Financial Management,Internal Services,Nov-2024,660183,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Transportation,Hardware,Dec-2024,658327,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Retirement Systems,Software,Sep-2024,657153,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Office of Financial Management,Internal Services,Aug-2024,656378,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Fish and Wildlife,Internal Services,Nov-2024,654744,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Retirement Systems,Outside Services,Feb-2025,653839,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Office of Financial Management,Internal Services,Sep-2024,651628,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Community/Technical College System,Telecom,Oct-2024,649211,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Licensing,Outside Services,Jan-2025,646502,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Ecology,Outside Services,Feb-2025,641267,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Washington Technology Solutions,Software,Jul-2024,626014,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Office of Attorney General,Other,Sep-2024,624954,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Enterprise Services,Hardware,Dec-2024,617548,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Ecology,Outside Services,Jul-2024,612995,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Department of Health,Hardware,Aug-2024,610409,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Wash State Health Care Authority,Outside Services,Oct-2024,610385,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Dept of Social and Health Services,Software,Oct-2024,607111,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Eastern Washington University,External Labor,Aug-2024,607018,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Natural Resources,Internal Labor,Jul-2024,605765,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Department of Enterprise Services,Internal Labor,Mar-2025,601417,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Transportation,External Labor,Oct-2024,600364,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Office of Financial Management,Telecom,Nov-2024,599928,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Enterprise Services,Internal Labor,Feb-2025,599270,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Transportation,Other,Oct-2024,598522,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
State Parks and Recreation Comm,Internal Services,Oct-2024,597844,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
State Parks and Recreation Comm,Internal Services,Jan-2025,597838,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Liquor and Cannabis Board,Internal Labor,Sep-2024,597208,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Wash State Health Care Authority,Outside Services,Sep-2024,593906,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Transportation,Telecom,Oct-2024,592140,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Community/Technical College System,Internal Services,Mar-2025,591596,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Liquor and Cannabis Board,Software,Jul-2024,590380,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Liquor and Cannabis Board,Internal Labor,Dec-2024,589092,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Liquor and Cannabis Board,Internal Labor,Jul-2024,587687,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Liquor and Cannabis Board,Internal Labor,Aug-2024,585348,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Labor and Industries,Outside Services,Mar-2025,584860,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Liquor and Cannabis Board,Software,Jan-2025,584194,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Liquor and Cannabis Board,Internal Labor,Feb-2025,583267,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Office of the Secretary of State,Software,Jan-2025,573423,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Wash State Health Care Authority,Software,Jul-2024,572630,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Liquor and Cannabis Board,Internal Labor,Nov-2024,571567,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Liquor and Cannabis Board,Internal Labor,Oct-2024,570291,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Agriculture,Internal Services,Nov-2024,570149,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Liquor and Cannabis Board,Internal Labor,Jan-2025,568747,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Labor and Industries,Hardware,Dec-2024,567071,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Transportation,Software,Dec-2024,566877,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Fish and Wildlife,Hardware,Feb-2025,565969,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Transportation,Hardware,Mar-2025,560962,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
"Department of Children, Youth, and Famil",External Labor,Sep-2024,557875,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Office of the Secretary of State,Internal Labor,Aug-2024,556704,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Fish and Wildlife,Outside Services,Aug-2024,551869,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Natural Resources,Internal Labor,Sep-2024,551779,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Corrections,External Labor,Feb-2025,548551,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Office of Financial Management,Other,Feb-2025,547334,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Washington Technology Solutions,Software,Sep-2024,547007,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Office of the Secretary of State,Outside Services,Jan-2025,545585,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Health,Internal Services,Oct-2024,542947,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Fish and Wildlife,Telecom,Oct-2024,542160,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Administrative Office of the Courts,Software,Dec-2024,541977,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Licensing,Hardware,Oct-2024,540451,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Fish and Wildlife,Software,Jan-2025,539921,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Labor and Industries,Outside Services,Aug-2024,537826,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Health,Internal Services,Dec-2024,537660,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Fish and Wildlife,Software,Feb-2025,537078,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Office of the Secretary of State,Outside Services,Mar-2025,535877,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Liquor and Cannabis Board,Internal Labor,Mar-2025,535219,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Corrections,Outside Services,Oct-2024,532226,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Office of Financial Management,External Labor,Oct-2024,530265,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Transportation,External Labor,Sep-2024,529186,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Health,Outside Services,Jul-2024,528779,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Wash State Health Care Authority,Outside Services,Jul-2024,528587,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
"Department of Children, Youth, and Famil",Hardware,Jan-2025,528437,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Dept of Social and Health Services,Telecom,Feb-2025,528345,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Supt of Public Instruction,Outside Services,Oct-2024,527372,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Health,Internal Services,Mar-2025,526986,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Office of the Secretary of State,Internal Labor,Nov-2024,526736,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Office of Financial Management,Telecom,Jul-2024,526653,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Community/Technical College System,Other,Jul-2024,526652,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Office of the Secretary of State,Internal Labor,Jan-2025,523741,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Office of the Secretary of State,Internal Labor,Dec-2024,523688,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Health,Hardware,Nov-2024,523525,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Labor and Industries,Outside Services,Nov-2024,521755,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Office of the Secretary of State,Internal Labor,Mar-2025,519983,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Eastern Washington University,External Labor,Dec-2024,518989,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Administrative Office of the Courts,Software,Mar-2025,518986,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Corrections,Hardware,Jan-2025,517729,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Office of the Secretary of State,Internal Labor,Sep-2024,517646,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Office of the Secretary of State,Internal Labor,Oct-2024,517290,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Office of the Secretary of State,Internal Labor,Feb-2025,514100,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Washington Technology Solutions,Outside Services,Jul-2024,514061,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Office of Financial Management,Hardware,Nov-2024,510837,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Commerce,Software,Jan-2025,505459,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Health,Hardware,Dec-2024,504710,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Ecology,Software,Feb-2025,501655,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Revenue,Software,Feb-2025,499019,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Office of State Auditor,Internal Labor,Dec-2024,498765,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Western Washington University,Outside Services,Jul-2024,496271,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Office of Attorney General,Software,Dec-2024,495157,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Fish and Wildlife,Outside Services,Nov-2024,495117,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Labor and Industries,Hardware,Feb-2025,494606,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Dept of Services for the Blind,Outside Services,Sep-2024,493506,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Wash State Health Care Authority,Outside Services,Aug-2024,491929,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Transportation,Hardware,Sep-2024,491460,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Commerce,Internal Services,Oct-2024,490410,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Transportation,Internal Services,Sep-2024,489392,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Office of the Secretary of State,Internal Labor,Jul-2024,489123,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Military Department,Telecom,Sep-2024,486731,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Supt of Public Instruction,Internal Labor,Sep-2024,485372,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Washington State Patrol,Software,Aug-2024,485104,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Supt of Public Instruction,Internal Labor,Jul-2024,484528,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Department of Labor and Industries,Software,Mar-2025,483457,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Revenue,Software,Sep-2024,483312,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Fish and Wildlife,Internal Services,Mar-2025,480993,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Washington State Patrol,Outside Services,Nov-2024,480334,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Office of the Secretary of State,External Labor,Jan-2025,479640,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Washington Technology Solutions,Hardware,Feb-2025,475139,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Labor and Industries,Hardware,Oct-2024,474071,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Western Washington University,Software,Mar-2025,473540,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Transportation,Internal Services,Dec-2024,473335,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Ecology,Outside Services,Aug-2024,472753,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Transportation,Telecom,Dec-2024,472523,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Employment Security Department,Internal Services,Feb-2025,472290,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Supt of Public Instruction,Internal Labor,Aug-2024,470824,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Corrections,Outside Services,Aug-2024,469620,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Transportation,External Labor,Feb-2025,467852,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Office of Financial Management,Other,Nov-2024,464621,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Administrative Office of the Courts,Outside Services,Oct-2024,464092,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Labor and Industries,Hardware,Aug-2024,463842,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Commerce,Software,Feb-2025,463449,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Transportation,Telecom,Mar-2025,459879,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Administrative Office of the Courts,Internal Services,Sep-2024,455535,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
"Department of Children, Youth, and Famil",Hardware,Nov-2024,455146,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Office of Financial Management,External Labor,Mar-2025,453694,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Corrections,Software,Feb-2025,451209,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Community/Technical College System,Internal Services,Feb-2025,451150,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Ecology,Software,Oct-2024,447545,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Washington Technology Solutions,Hardware,Mar-2025,446437,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Corrections,Telecom,Nov-2024,443117,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Transportation,Telecom,Jan-2025,443100,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Commerce,Other,Nov-2024,441495,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Corrections,Outside Services,Mar-2025,441361,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Employment Security Department,Software,Aug-2024,441270,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Veterans Affairs,Outside Services,Mar-2025,439174,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Labor and Industries,Hardware,Jul-2024,438454,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Department of Corrections,External Labor,Dec-2024,434004,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Enterprise Services,Software,Jul-2024,432117,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Washington Technology Solutions,Software,Feb-2025,428671,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Office of Financial Management,Other,Dec-2024,428105,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Washington State Patrol,Internal Services,Dec-2024,424453,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Wash State Health Care Authority,Software,Mar-2025,423716,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Corrections,Telecom,Jul-2024,423203,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Department of Agriculture,Internal Services,Mar-2025,422880,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Washington State Patrol,Outside Services,Feb-2025,422219,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Washington State University,Outside Services,Jul-2024,421264,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Department of Corrections,Outside Services,Dec-2024,417537,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Community/Technical College System,Other,Nov-2024,415867,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Health,Software,Jul-2024,415068,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Administrative Office of the Courts,Internal Services,Jan-2025,414967,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Corrections,Telecom,Mar-2025,414165,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Employment Security Department,Software,Oct-2024,413052,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Natural Resources,Hardware,Feb-2025,412940,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Fish and Wildlife,Hardware,Oct-2024,411724,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
"Department of Children, Youth, and Famil",Telecom,Oct-2024,411392,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
"Department of Children, Youth, and Famil",Telecom,Nov-2024,408965,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Washington State Patrol,Outside Services,Aug-2024,408060,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Transportation,Telecom,Nov-2024,405438,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Office of the Secretary of State,Internal Services,Jan-2025,404816,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Fish and Wildlife,Hardware,Nov-2024,404358,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Supt of Public Instruction,Software,Sep-2024,403891,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Office of Financial Management,Other,Jan-2025,403334,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Licensing,Outside Services,Oct-2024,402133,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Corrections,Telecom,Oct-2024,401154,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Corrections,Telecom,Jan-2025,399762,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Enterprise Services,Software,Oct-2024,399567,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Transportation,Telecom,Aug-2024,399404,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Joint Legislative Systems Committee,Software,Oct-2024,397549,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
"Department of Children, Youth, and Famil",Software,Feb-2025,397061,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Corrections,Telecom,Sep-2024,396791,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Office of State Auditor,Hardware,Feb-2025,396268,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Washington State Patrol,Telecom,Dec-2024,394295,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Fish and Wildlife,Telecom,Sep-2024,393759,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Corrections,Telecom,Feb-2025,392123,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Office of Financial Management,External Labor,Sep-2024,392000,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
"Department of Children, Youth, and Famil",Telecom,Feb-2025,391682,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Corrections,Telecom,Dec-2024,389880,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Ecology,Hardware,Dec-2024,389807,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Corrections,Telecom,Aug-2024,389773,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Office of Financial Management,Other,Mar-2025,388240,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Ecology,Internal Services,Mar-2025,387345,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
"Department of Children, Youth, and Famil",Telecom,Aug-2024,387267,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
